,genres,release_date,price,id,game_name
88418,Action,2001-07-25,9.99,12140,Max Payne - Max Payne
88419,Strategy,2008-10-28,19.99,17480,Command & Conquer: Red Alert 3 - Command &amp; Conquer: Red Alert 3
88420,Casual,2007-10-10,9.99,12500,PuzzleQuest: Challenge of the Warlords - PuzzleQuest: Challenge of the Warlords
88421,"RPG, Casual, Adventure",2007-10-23,9.99,12310,Culpa Innata - Culpa Innata
88422,Strategy,2007-08-01,9.99,12510,Prison Tycoon 3™: Lockdown - Prison Tycoon 3™: Lockdown
88423,"Action, Adventure, Strategy",2007-09-01,9.99,12530,Hunting Unlimited™ 2008 - Hunting Unlimited™ 2008
88424,Racing,2007-12-03,9.99,12520,18 Wheels of Steel: American Long Haul - 18 Wheels of Steel: American Long Haul
88425,Action,2008-02-08,5.99,8100,Conflict: Denied Ops - Conflict: Denied Ops
88426,Action,2007-05-08,7.99,2780,ARMA: Combat Operations - ARMA: Combat Operations
88428,Action,2006-05-02,9.99,9710,Desperados 2: Cooper's Revenge - Desperados 2: Cooper's Revenge
88429,"Action, Adventure",2007-10-16,4.99,9800,Death to Spies - Death to Spies
88430,Action,2006-05-30,2.99,9760,Act of War: High Treason - Act of War: High Treason
88431,"Simulation, Strategy",2006-10-26,19.99,2700,RollerCoaster Tycoon® 3: Platinum - RollerCoaster Tycoon® 3: Platinum
88432,Action,2005-03-14,2.99,2710,Act of War: Direct Action - Act of War: Direct Action
88433,Action,2003-02-03,14.99,13200,Unreal 2: The Awakening - Unreal 2: The Awakening
88434,Action,1998-04-30,9.99,13250,Unreal Gold - Unreal Gold
88435,"Casual, Indie",2008-03-21,4.99,13000,Ninja Reflex: Steamworks Edition - Ninja Reflex: Steamworks Edition
88436,Action,2003-02-18,9.99,13560,Tom Clancy's Splinter Cell® - Tom Clancy's Splinter Cell®
88437,Action,2004-03-23,9.99,13520,Far Cry® - Far Cry®
88438,Action,2000-10-25,9.99,13240,Unreal Tournament: Game of the Year Edition - Unreal Tournament: Game of the Year Edition
88439,Action,2006-12-12,9.99,13540,Tom Clancy's Rainbow Six® Vegas - Tom Clancy's Rainbow Six® Vegas
88440,Simulation,2005-03-15,9.99,15210,Silent Hunter® III - Silent Hunter® III
88441,"Casual, Simulation",2008-05-28,9.99,16180,Virtual Villagers - The Secret City - Virtual Villagers - The Secret City
88442,Casual,2008-06-04,4.99,3520,Mystery P.I.™ - The Vegas Heist - Mystery P.I.™ - The Vegas Heist
88443,Casual,2008-06-10,9.99,15970,Luxor - Luxor
88444,Casual,2008-06-10,9.99,15950,Reaxxion - Reaxxion
88445,Casual,2008-06-10,9.99,15960,Little Farm - Little Farm
88446,Casual,2008-06-10,9.99,15900,7 Wonders II - 7 Wonders II
88447,Casual,2005-12-08,9.99,15910,Luxor Amun Rising - Luxor Amun Rising
88448,Casual,2007-11-13,9.99,15930,Luxor 3 - Luxor 3
88449,Simulation,2007-11-13,9.99,15160,Petz® Horsez® 2 - Petz® Horsez® 2
88450,Casual,2005-12-08,9.99,15920,Luxor 2 - Luxor 2
88451,"Action, Adventure",2007-03-27,9.99,15080,Rayman Raving Rabbids™ - Rayman Raving Rabbids™
88452,Simulation,2007-03-20,9.99,15200,Silent Hunter®: Wolves of the Pacific - Silent Hunter®: Wolves of the Pacific
88453,Simulation,2006-12-15,9.99,15320,IL-2 Sturmovik: 1946 - IL-2 Sturmovik: 1946
88454,Simulation,2008-03-24,9.99,15240,Silent Hunter®: Wolves of the Pacific U-Boat Missions - Silent Hunter®: Wolves of the Pacific U-Boat Missions
88455,Adventure,2005-09-15,9.99,8310,Bone: Out From Boneville - Bone: Out From Boneville
88456,Racing,2005-07-02,9.99,12600,Midnight Outlaw: 6 Hours to SunUp - Midnight Outlaw: 6 Hours to SunUp
88457,Adventure,2006-04-12,9.99,8320,Bone: The Great Cow Race - Bone: The Great Cow Race
88458,Racing,2008-07-29,9.99,12590,Sprint Cars Road to Knoxville - Sprint Cars Road to Knoxville
88460,Simulation,2007-07-02,9.99,12560,Ride! Carnival Tycoon - Ride! Carnival Tycoon
88462,Casual,2007-08-08,9.99,12540,Mahjongg Investigations: Under Suspicion - Mahjongg Investigations: Under Suspicion
88463,Adventure,2008-05-20,9.99,11050,Dracula Origin - Dracula Origin
88465,"Adventure, RPG",2008-04-14,9.99,11040,Sherlock Holmes - Nemesis - Sherlock Holmes - Nemesis
88466,"Adventure, Indie",2008-07-31,4.99,19500,Eternity's Child - Eternity's Child
88467,"Simulation, Strategy",2007-05-25,7.99,11260,Pacific Storm Allies - Pacific Storm Allies
88468,"Action, Indie",2008-08-21,4.99,19200,Tank Universal - Tank Universal
88469,Racing,2008-08-19,19.99,12360,FlatOut: Ultimate Carnage - FlatOut: Ultimate Carnage
88470,Adventure,1998-11-17,2.99,15710,Oddworld: Abe's Exoddus® - Oddworld: Abe's Exoddus®
88471,Adventure,1997-12-12,2.99,15700,Oddworld: Abe's Oddysee® - Oddworld: Abe's Oddysee®
88472,Racing,2008-09-01,7.99,8660,GTR Evolution Expansion Pack for RACE 07 - GTR Evolution Expansion Pack for RACE 07
88473,Strategy,2001-04-19,4.99,7770,X-COM: Enforcer - X-COM: Enforcer
88474,Strategy,1997-07-15,4.99,7660,X-COM: Apocalypse - X-COM: Apocalypse
88475,Strategy,1993-12-31,4.99,7760,X-COM: UFO Defense - X-COM: UFO Defense
88476,"Action, RPG",2008-09-15,9.99,20510,S.T.A.L.K.E.R.: Clear Sky - S.T.A.L.K.E.R.: Clear Sky
88477,Action,2008-09-17,19.99,17330,Crysis Warhead® - Crysis Warhead®
88478,Action,2007-11-13,19.99,17300,Crysis - Crysis
88479,Strategy,1998-06-15,4.99,7730,X-COM: Interceptor - X-COM: Interceptor
88480,"Action, RPG",2008-09-16,9.99,20900,The Witcher: Enhanced Edition Director's Cut - The Witcher: Enhanced Edition Director's Cut
88481,Indie,2008-09-19,9.99,1530,Multiwinia - Multiwinia
88482,Racing,2008-10-22,2.99,8690,STCC - The Game 1 - Expansion Pack for RACE 07 - STCC - The Game 1 - Expansion Pack for RACE 07
88483,"Strategy, Simulation",2008-08-28,2.49,17120,Children of the Nile: Alexandria - Children of the Nile: Alexandria
88484,Strategy,2008-09-23,19.99,16810,Sid Meier's Civilization IV: Colonization - Sid Meier's Civilization IV: Colonization
88485,Action,2003-03-18,9.99,19830,Tom Clancy's Rainbow Six® 3 Gold - Tom Clancy's Rainbow Six® 3 Gold
88486,"Action, Adventure",2008-09-29,19.99,21000,LEGO Batman - LEGO Batman
88487,"Simulation, Strategy",2008-07-18,9.99,4460,City Life 2008 - City Life 2008
88488,"RPG, Strategy",2008-09-30,9.99,17140,Hinterland - Hinterland
88489,Action,2008-10-08,9.99,15390,Brothers in Arms: Hell's Highway™ - Brothers in Arms: Hell's Highway™
88490,"Indie, Casual",2008-08-31,4.99,21300,Gravitron 2 - Gravitron 2
88491,Racing,2006-12-01,4.99,3050,Xpand Rally Xtreme - Xpand Rally Xtreme
88492,Strategy,2006-11-14,9.99,15380,Heroes of Might & Magic V: Hammers of Fate - Heroes of Might &amp; Magic V: Hammers of Fate
88493,Action,2005-10-04,9.99,19800,Brothers in Arms: Earned in Blood™ - Brothers in Arms: Earned in Blood™
88494,Strategy,2007-10-16,9.99,15370,Heroes of Might & Magic V: Tribes of the East - Heroes of Might &amp; Magic V: Tribes of the East
88495,Strategy,2008-04-18,19.99,19930,The Settlers®: Rise Of An Empire Gold Edition - The Settlers®: Rise Of An Empire Gold Edition
88496,Casual,2007-09-25,9.99,15350,Brain Spa - Brain Spa
88497,Action,2002-05-31,9.99,19810,The Sum of All Fears - The Sum of All Fears
88498,Casual,2008-10-15,4.99,3540,Peggle™ Nights - Peggle™ Nights
88499,Indie,2008-10-13,9.99,22000,World of Goo - World of Goo
88500,"Action, Simulation, Strategy",2008-10-16,15.99,2820,X3: Terran Conflict - X3: Terran Conflict
88501,Action,2008-10-17,Free,1230,Mare Nostrum - Mare Nostrum
88502,"Casual, Indie",2008-10-20,4.99,18300,Spectraball - Spectraball
88503,"Indie, Casual, Sports",2008-10-21,19.99,20200,Galactic Bowling - Galactic Bowling
88504,"Action, Adventure",2008-10-21,14.99,12200,Bully: Scholarship Edition - Bully: Scholarship Edition
88505,Action,2008-10-22,9.99,19900,Far Cry® 2: Fortune's Edition - Far Cry® 2: Fortune's Edition
88506,"Action, Indie, Strategy",2008-10-23,4.99,11240,Space Trader: Merchant Marine - Space Trader: Merchant Marine
88507,Simulation,2009-01-01,4.99,256522,PRR Wagon Pack 01 - PRR Wagon Pack 01
88508,Simulation,2009-01-01,4.99,275144,"Class 421 London South East ""Jaffa Cake"" - Class 421 London South East ""Jaffa Cake"""
88509,Simulation,2009-01-01,4.99,256521,ATSF Wagon Pack 01 - ATSF Wagon Pack 01
88510,Simulation,2009-01-01,4.99,222569,GP20 Union Pacific Add-on Livery - GP20 Union Pacific Add-on Livery
88511,Simulation,2009-01-01,4.99,256535,UK Van Wagon Pack - UK Van Wagon Pack
88512,Simulation,2009-01-01,4.99,256611,CSX SD70MAC Add-on Livery - CSX SD70MAC Add-on Livery
88513,Simulation,2009-01-01,4.99,256576,CSX ES44AC Add-on Livery - CSX ES44AC Add-on Livery
88514,Action,2009-01-28,9.99,9480,Saints Row 2 - Saints Row 2
88515,Action,2008-10-20,19.99,17470,Dead Space - Dead Space
88516,RPG,2008-12-16,9.99,12770,Rise of the Argonauts - Rise of the Argonauts
88517,"Action, Adventure",2009-01-13,19.99,17410,Mirror's Edge™ - Mirror's Edge™
88518,"Indie, Strategy",2008-12-08,9.99,18500,Defense Grid: The Awakening - Defense Grid: The Awakening
88519,Action,2009-02-12,14.99,16450,F.E.A.R. 2: Project Origin - F.E.A.R. 2: Project Origin
88520,"Strategy, Indie",2008-03-05,7.99,15400,Harvest: Massive Encounter - Harvest: Massive Encounter
88521,"Indie, Strategy",2007-07-04,9.99,18600,Mayhem Intergalactic - Mayhem Intergalactic
88522,"Action, Indie",2009-03-19,4.99,11340,Larva Mortus - Larva Mortus
88523,Strategy,2005-05-10,9.99,25830,Knights of Honor - Knights of Honor
88524,"Action, Adventure, Strategy",2009-02-27,5.99,23460,Ceville - Ceville
88525,Strategy,2009-03-04,2.99,10600,Empire: Total War™ - Special Forces Units & Bonus Content - Empire: Total War™ - Special Forces Units &amp; Bonus Content
88526,Action,2009-03-04,4.99,21010,Watchmen: The End is Nigh - Watchmen: The End is Nigh
88527,"Action, Adventure, Indie",2007-03-30,9.99,22180,Penumbra Overture - Penumbra Overture
88528,Action,2007-11-19,19.99,13210,Unreal Tournament 3 Black - Unreal Tournament 3 Black
88529,RPG,2009-02-27,9.99,12640,Drakensang - Drakensang
88531,"Indie, Simulation",2008-03-21,4.99,27020,The Graveyard - The Graveyard
88532,Racing,2009-02-03,19.99,24740,Burnout Paradise: The Ultimate Box - Burnout Paradise: The Ultimate Box
88534,"Action, Indie",2009-03-09,9.99,26000,The Maw - The Maw
88535,"Action, Indie",2009-03-16,1.25,26006,The Maw: River Redirect - The Maw: River Redirect
88536,"Action, Indie",2009-03-16,1.25,26005,The Maw: Brute Force - The Maw: Brute Force
88537,"Casual, Indie",2009-03-19,4.99,11330,Obulis - Obulis
88538,Indie,2009-03-19,9.99,27800,Space Giraffe - Space Giraffe
88539,"Simulation, Strategy",2009-03-10,14.99,9850,Codename: Panzers - Cold War - Codename: Panzers - Cold War
88540,Casual,2009-04-15,4.99,3600,Escape Rosecliff Island - Escape Rosecliff Island
88541,"RPG, Massively Multiplayer",2006-10-27,19.99,29580,Guild Wars Nightfall - Guild Wars Nightfall®
88542,"RPG, Massively Multiplayer",2005-04-28,19.99,29540,Guild Wars - Guild Wars® Game of the Year Edition
88543,"RPG, Massively Multiplayer",2006-04-28,19.99,29560,Guild Wars Factions - Guild Wars Factions®
88544,"Massively Multiplayer, RPG",2008-09-25,29.99,29570,Guild Wars Trilogy - Guild Wars Trilogy
88545,Casual,2009-04-16,14.99,23700,Puzzle Kingdoms - Puzzle Kingdoms
88546,Casual,2009-04-29,9.99,16060,Samantha Swift and the Golden Touch - Samantha Swift and the Golden Touch
88547,RPG,2009-04-30,9.99,1930,Two Worlds Epic Edition - Two Worlds Epic Edition
88548,Strategy,2009-04-30,9.99,18470,Helldorado - Helldorado
88549,"Action, Adventure, RPG",2009-02-10,9.99,7510,X-Blades - X-Blades
88550,"Action, Indie",2009-04-21,9.99,22200,Zeno Clash - Zeno Clash
88551,Indie,2009-04-29,1.25,26007,The Maw: Speeder Lane - The Maw: Speeder Lane
88552,"RPG, Strategy",2008-09-23,6.99,25900,King's Bounty: The Legend - King's Bounty: The Legend
88553,"Casual, Simulation",2009-05-06,9.99,16200,Virtual Families - Virtual Families
88554,Racing,2009-05-06,2.99,7840,Death Track®: Resurrection - Death Track®: Resurrection
88555,"RPG, Strategy",2005-03-08,4.99,8890,Freedom Force vs. the Third Reich - Freedom Force vs. the Third Reich
88556,"RPG, Strategy",2002-03-26,4.99,8880,Freedom Force - Freedom Force
88557,"Indie, Simulation, Strategy",2009-06-04,14.99,34500,Light of Altair - Light of Altair
88558,"Action, Simulation",2009-06-09,Free,1280,Darkest Hour: Europe '44-'45 - Darkest Hour: Europe '44-'45
88559,"Action, Adventure",2009-06-10,19.99,10150,Prototype™ - Prototype™
88560,"Adventure, Indie",Jun 2009,4.99,29160,Blueberry Garden - Blueberry Garden
88561,Strategy,2004-04-30,4.99,12470,Port Royale 2 - Port Royale 2
88563,RPG,2007-09-11,14.99,22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition - The Elder Scrolls IV: Oblivion® Game of the Year Edition
88564,RPG,2002-04-29,14.99,22320,The Elder Scrolls III: Morrowind® Game of the Year Edition - The Elder Scrolls III: Morrowind® Game of the Year Edition
88566,Adventure,2007-05-18,4.99,12440,Ankh 2: Heart of Osiris - Ankh 2: Heart of Osiris
88567,Simulation,1999-09-01,9.99,32710,Armored Fist 3 - Armored Fist 3
88568,Simulation,1998-09-07,9.99,32740,MiG-29 Fulcrum - MiG-29 Fulcrum
88569,Strategy,2008-09-15,4.99,12460,BC Kings - BC Kings
88570,Action,2009-06-30,9.99,21980,Call of Juarez®: Bound in Blood - Call of Juarez®: Bound in Blood
88571,Adventure,2007-10-01,6.99,31860,Nancy Drew®: Legend of the Crystal Skull - Nancy Drew®: Legend of the Crystal Skull
88572,Adventure,2006-10-01,6.99,31900,Nancy Drew®: The Creature of Kapu Cave - Nancy Drew®: The Creature of Kapu Cave
88573,Adventure,2008-07-01,6.99,31920,Nancy Drew®: The Phantom of Venice - Nancy Drew®: The Phantom of Venice
88574,Adventure,2007-07-01,6.99,31930,Nancy Drew®: The White Wolf of Icicle Creek - Nancy Drew®: The White Wolf of Icicle Creek
88575,"Casual, Indie",2008-12-24,Free to Play,35800,BRAINPIPE: A Plunge to Unhumanity - BRAINPIPE: A Plunge to Unhumanity
88577,Adventure,2009-07-07,19.99,31170,Tales of Monkey Island Complete Pack - Tales of Monkey Island Complete Pack
88578,Action,2009-07-07,19.99,21660,Street Fighter® IV - Street Fighter® IV
88579,"Action, Adventure, Racing, Simulation, Strategy",2007-10-09,9.99,6080,Thrillville®: Off the Rails™ - Thrillville®: Off the Rails™
88580,Adventure,1992-06-01,5.99,6010,Indiana Jones® and the Fate of Atlantis™ - Indiana Jones® and the Fate of Atlantis™
88581,Action,2003-12-02,5.99,6090,Armed and Dangerous® - Armed and Dangerous®
88582,Action,2005-11-01,9.99,6060,"Star Wars: Battlefront 2 (Classic, 2005) - Star Wars: Battlefront 2 (Classic, 2005)"
88583,Adventure,1989-07-01,5.99,32310,Indiana Jones® and the Last Crusade™ - Indiana Jones® and the Last Crusade™
88584,"Action, Adventure",2008-06-03,19.99,32330,LEGO® Indiana Jones™: The Original Adventures - LEGO® Indiana Jones™: The Original Adventures
88585,Adventure,2009-07-15,9.99,32360,The Secret of Monkey Island: Special Edition - The Secret of Monkey Island: Special Edition
88586,Strategy,2008-11-20,12.99,35300,Warfare - Warfare
88587,"Action, Racing",2009-06-02,9.99,35310,Clutch - Clutch
88588,Adventure,2009-07-21,6.99,31980,Nancy Drew®: Ransom of the Seven Ships - Nancy Drew®: Ransom of the Seven Ships
88590,Sports,2006-12-20,9.99,10140,3D Ultra™ Minigolf Adventures - 3D Ultra™ Minigolf Adventures
88591,Adventure,2006-09-01,19.99,10100,King's Quest™ Collection - King's Quest™ Collection
88592,Action,2007-10-30,19.99,10130,TimeShift™ - TimeShift™
88593,Adventure,2006-09-01,19.99,10110,Space Quest™ Collection - Space Quest™ Collection
88594,Action,2009-07-24,7.99,1256,Killing Floor Outbreak Character Pack - Killing Floor Outbreak Character Pack
88595,"Action, Casual",2008-06-04,9.99,10120,Aces of the Galaxy™ - Aces of the Galaxy™
88596,"Simulation, Strategy",2009-07-24,6.99,33520,Tropico Reloaded - Tropico Reloaded
88597,Casual,2009-07-27,4.99,3610,Mystery P.I. - Lost in Los Angeles - Mystery P.I. - Lost in Los Angeles
88598,Action,2008-08-14,9.99,21680,Bionic Commando: Rearmed - Bionic Commando: Rearmed
88599,"Action, Adventure",2009-07-28,9.99,21670,Bionic Commando - Bionic Commando
88600,Action,2009-07-29,4.99,21030,Watchmen: The End is Nigh Part 2 - Watchmen: The End is Nigh Part 2
88601,"Action, Indie",2009-08-04,4.99,36000,Foreign Legion: Buckets of Blood - Foreign Legion: Buckets of Blood
88602,"Adventure, RPG",2003-11-19,9.99,32370,STAR WARS™ - Knights of the Old Republic™ - STAR WARS™ - Knights of the Old Republic™
88603,"Indie, Casual",2009-08-18,9.99,29180,Osmos - Osmos
88604,RPG,1998-12-01,9.99,38410,Fallout 2: A Post Nuclear Role Playing Game - Fallout 2: A Post Nuclear Role Playing Game
88605,Strategy,2001-03-01,9.99,38420,Fallout Tactics: Brotherhood of Steel - Fallout Tactics: Brotherhood of Steel
88606,Action,1999-06-01,9.99,38430,Kingpin — Life of Crime - Kingpin — Life of Crime
88609,Adventure,2009-08-20,19.99,31180,Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay - Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay
88610,Casual,2009-08-24,19.99,37960,Jewel Quest Pack - Jewel Quest Pack
88611,Casual,2009-08-24,9.99,38000,Mahjong Quest Collection - Mahjong Quest Collection
88612,"Adventure, Indie",2009-06-22,4.99,37400,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack - Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack"
88613,Action,2005-03-29,9.99,13570,Tom Clancy's Splinter Cell Chaos Theory® - Tom Clancy's Splinter Cell Chaos Theory®
88615,Strategy,2009-08-28,4.99,34420,XIII Century – Gold Edition - XIII Century – Gold Edition
88616,Simulation,2009-10-30,14.99,43100,World of Zoo - World of Zoo
88618,"Action, Adventure",2009-09-08,9.99,35000,Mini Ninjas - Mini Ninjas
88621,"Adventure, Casual, Indie",2009-05-26,2.99,37600,Windosill - Windosill
88622,Simulation,2009-09-25,24.99,24029,Train Simulator: Colton & Northern Route Add-On - Train Simulator: Colton &amp; Northern Route Add-On
88623,"Adventure, Casual",2009-09-28,9.99,32140,Midnight Mysteries - Midnight Mysteries
88624,Adventure,2009-09-07,19.99,31190,Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan - Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan
88625,Action,2009-08-18,19.99,32770,Joint Operations: Combined Arms Gold - Joint Operations: Combined Arms Gold
88626,Simulation,2009-10-01,17.99,208306,Train Simulator: US Loco & Asset Pack - Train Simulator: US Loco &amp; Asset Pack
